"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Exclude from Simulation","Exclude from Position Files","Footprint","Datasheet"
"C1,C2,C6","3","100nF","","","","","${EXCLUDE_FROM_POS_FILES}","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm",""
"C3","1","1uF","","","","","${EXCLUDE_FROM_POS_FILES}","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm",""
"C4,C5","2","10uF","","","","","${EXCLUDE_FROM_POS_FILES}","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm",""
"D1,D4","2","1N5817","","","","","${EXCLUDE_FROM_POS_FILES}","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88525/1n5817.pdf"
"D2","1","GREENLED","","","","","${EXCLUDE_FROM_POS_FILES}","LED_THT:LED_D5.0mm_Horizontal_O1.27mm_Z3.0mm",""
"D3","1","BLUELED","","","","","${EXCLUDE_FROM_POS_FILES}","LED_THT:LED_D5.0mm_Horizontal_O1.27mm_Z3.0mm",""
"J1","1","Battery","","","","","${EXCLUDE_FROM_POS_FILES}","Connector_JST:JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical",""
"PD_Blue1,PD_Green1","2","Photodiode","","","","","${EXCLUDE_FROM_POS_FILES}","-project:PD_Vertical",""
"Q3,Q4","2","2N3904","","","","","${EXCLUDE_FROM_POS_FILES}","Package_TO_SOT_THT:TO-92_Inline","https://www.onsemi.com/pub/Collateral/2N3903-D.PDF"
"R1,R2,R6,R10,R12","5","10k","","","","","${EXCLUDE_FROM_POS_FILES}","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"R8,R9","2","27R","","","","","${EXCLUDE_FROM_POS_FILES}","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"R11,R13","2","5.6k","","","","","${EXCLUDE_FROM_POS_FILES}","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"RV1","1","100k","","","","","${EXCLUDE_FROM_POS_FILES}","Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical",""
"RV2","1","1M","","","","","${EXCLUDE_FROM_POS_FILES}","Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical",""
"SW1","1","RESET","","","","","${EXCLUDE_FROM_POS_FILES}","Button_Switch_THT:SW_PUSH_6mm",""
"SW3","1","SW_SPDT","","","","","${EXCLUDE_FROM_POS_FILES}","Button_Switch_THT:SW_Slide-03_Wuerth-WS-SLTV_10x2.5x6.4_P2.54mm",""
"TH1","1","SampleThermistor","","","","","${EXCLUDE_FROM_POS_FILES}","-project:Thermistor_Wire",""
"U1","1","NRF52840 Pro Micro","","","","","${EXCLUDE_FROM_POS_FILES}","-project:nrf52840_pro_micro",""
"U2","1","LM358","","","","","${EXCLUDE_FROM_POS_FILES}","Package_DIP:DIP-8_W7.62mm_LongPads",""
"U3","1","NAU7802KGI","","","","","${EXCLUDE_FROM_POS_FILES}","Package_DIP:DIP-16_W7.62mm_LongPads",""
"U4","1","7660S","","","","","${EXCLUDE_FROM_POS_FILES}","Package_DIP:DIP-8_W7.62mm_LongPads",""
