Comment,Designator,Footprint,LCSC,Quantity
27R,R8,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,,1
10k,R6,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,,1
BLUELED,D3,LED_D5.0mm_Horizontal_O1.27mm_Z3.0mm,,1
Photodiode,PD_Blue1,PD_Vertical,,1
1N5817,D4,D_DO-41_SOD81_P10.16mm_Horizontal,,1
NRF52840 Pro Micro,U1,nrf52840_pro_micro,,1
100k,RV1,Potentiometer_Bourns_3296W_Vertical,,1
100nF,C2,C_Disc_D4.3mm_W1.9mm_P5.00mm,,1
SW_SPDT,SW3,SW_Slide-03_Wuerth-WS-SLTV_10x2.5x6.4_P2.54mm,,1
SampleThermistor,TH1,Thermistor_Wire,,1
100nF,C1,C_Disc_D4.3mm_W1.9mm_P5.00mm,,1
2N3904,Q4,TO-92_Inline,,1
10k,R2,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,,1
RESET,SW1,SW_PUSH_6mm,,1
10uF,C5,C_Disc_D4.3mm_W1.9mm_P5.00mm,,1
100nF,C6,C_Disc_D4.3mm_W1.9mm_P5.00mm,,1
10k,R10,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,,1
1uF,C3,C_Disc_D4.3mm_W1.9mm_P5.00mm,,1
5.6k,R13,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,,1
2N3904,Q3,TO-92_Inline,,1
27R,R9,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,,1
10k,R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,,1
1N5817,D1,D_DO-41_SOD81_P10.16mm_Horizontal,,1
10k,R12,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,,1
1M,RV2,Potentiometer_Bourns_3296W_Vertical,,1
Battery,J1,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,,1
5.6k,R11,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,,1
7660S,U4,DIP-8_W7.62mm_LongPads,,1
Photodiode,PD_Green1,PD_Vertical,,1
GREENLED,D2,LED_D5.0mm_Horizontal_O1.27mm_Z3.0mm,,1
LM358,U2,DIP-8_W7.62mm_LongPads,,1
10uF,C4,C_Disc_D4.3mm_W1.9mm_P5.00mm,,1
NAU7802KGI,U3,DIP-16_W7.62mm_LongPads,,1
